   Elapsed time	  ECG I	iltered
   hh:mm:ss.mmm	   (mV)	   (mV)
       0:00.000	 -0.215	  0.020
       0:00.002	 -0.150	  0.015
       0:00.004	 -0.160	  0.005
       0:00.006	 -0.195	  0.000
       0:00.008	 -0.280	 -0.010
       0:00.010	 -0.335	 -0.015
       0:00.012	 -0.340	 -0.020
       0:00.014	 -0.325	 -0.020
       0:00.016	 -0.275	 -0.020
       0:00.018	 -0.170	 -0.020
       0:00.020	 -0.180	 -0.015
       0:00.022	 -0.170	 -0.010
       0:00.024	 -0.165	 -0.010
       0:00.026	 -0.180	 -0.010
       0:00.028	 -0.320	 -0.010
       0:00.030	 -0.385	 -0.010
       0:00.032	 -0.320	 -0.010
       0:00.034	 -0.280	 -0.010
       0:00.036	 -0.235	 -0.010
       0:00.038	 -0.160	 -0.005
       0:00.040	 -0.145	 -0.005
       0:00.042	 -0.170	  0.000
       0:00.044	 -0.190	  0.005
       0:00.046	 -0.270	  0.010
       0:00.048	 -0.325	  0.010
       0:00.050	 -0.305	  0.010
       0:00.052	 -0.290	  0.010
       0:00.054	 -0.265	  0.010
       0:00.056	 -0.245	  0.010
       0:00.058	 -0.205	  0.010
       0:00.060	 -0.165	  0.005
       0:00.062	 -0.170	  0.005
       0:00.064	 -0.200	  0.000
       0:00.066	 -0.240	  0.000
       0:00.068	 -0.240	 -0.005
       0:00.070	 -0.325	 -0.010
       0:00.072	 -0.315	 -0.015
       0:00.074	 -0.315	 -0.015
       0:00.076	 -0.245	 -0.015
       0:00.078	 -0.170	 -0.010
       0:00.080	 -0.210	 -0.005
       0:00.082	 -0.180	  0.000
       0:00.084	 -0.165	  0.000
       0:00.086	 -0.230	  0.005
       0:00.088	 -0.235	  0.005
       0:00.090	 -0.295	  0.000
       0:00.092	 -0.380	 -0.010
       0:00.094	 -0.325	 -0.020
       0:00.096	 -0.285	 -0.025
       0:00.098	 -0.215	 -0.030
       0:00.100	 -0.200	 -0.035
       0:00.102	 -0.225	 -0.030
       0:00.104	 -0.200	 -0.025
       0:00.106	 -0.240	 -0.020
       0:00.108	 -0.280	 -0.015
       0:00.110	 -0.320	 -0.010
       0:00.112	 -0.330	 -0.010
       0:00.114	 -0.305	 -0.010
       0:00.116	 -0.260	 -0.015
       0:00.118	 -0.205	 -0.020
       0:00.120	 -0.175	 -0.025
       0:00.122	 -0.170	 -0.025
       0:00.124	 -0.250	 -0.025
       0:00.126	 -0.270	 -0.025
       0:00.128	 -0.290	 -0.020
       0:00.130	 -0.325	 -0.010
       0:00.132	 -0.285	  0.000
       0:00.134	 -0.280	  0.005
       0:00.136	 -0.260	  0.010
       0:00.138	 -0.205	  0.010
       0:00.140	 -0.160	  0.010
       0:00.142	 -0.095	  0.005
       0:00.144	 -0.190	  0.005
       0:00.146	 -0.220	  0.005
       0:00.148	 -0.295	  0.005
       0:00.150	 -0.295	  0.010
       0:00.152	 -0.255	  0.015
       0:00.154	 -0.300	  0.020
       0:00.156	 -0.235	  0.025
       0:00.158	 -0.185	  0.030
       0:00.160	 -0.120	  0.035
       0:00.162	 -0.095	  0.040
       0:00.164	 -0.140	  0.040
       0:00.166	 -0.200	  0.040
       0:00.168	 -0.280	  0.040
       0:00.170	 -0.285	  0.040
       0:00.172	 -0.295	  0.035
       0:00.174	 -0.255	  0.025
       0:00.176	 -0.225	  0.010
       0:00.178	 -0.220	 -0.005
       0:00.180	 -0.195	 -0.020
       0:00.182	 -0.240	 -0.035
       0:00.184	 -0.270	 -0.045
       0:00.186	 -0.305	 -0.050
       0:00.188	 -0.340	 -0.050
       0:00.190	 -0.300	 -0.045
       0:00.192	 -0.315	 -0.035
       0:00.194	 -0.335	 -0.025
       0:00.196	 -0.240	 -0.015
       0:00.198	 -0.210	 -0.010
       0:00.200	 -0.185	 -0.005
       0:00.202	 -0.210	 -0.005
       0:00.204	 -0.190	 -0.005
       0:00.206	 -0.270	 -0.010
       0:00.208	 -0.350	 -0.020
       0:00.210	 -0.315	 -0.025
       0:00.212	 -0.310	 -0.030
       0:00.214	 -0.320	 -0.035
       0:00.216	 -0.275	 -0.035
       0:00.218	 -0.215	 -0.040
       0:00.220	 -0.245	 -0.040
       0:00.222	 -0.205	 -0.040
       0:00.224	 -0.230	 -0.040
       0:00.226	 -0.275	 -0.040
       0:00.228	 -0.265	 -0.035
       0:00.230	 -0.370	 -0.030
       0:00.232	 -0.370	 -0.030
       0:00.234	 -0.330	 -0.025
       0:00.236	 -0.175	 -0.020
       0:00.238	 -0.210	 -0.020
       0:00.240	 -0.175	 -0.020
       0:00.242	 -0.185	 -0.020
       0:00.244	 -0.225	 -0.025
       0:00.246	 -0.355	 -0.035
       0:00.248	 -0.380	 -0.040
       0:00.250	 -0.380	 -0.050
       0:00.252	 -0.360	 -0.060
       0:00.254	 -0.330	 -0.075
       0:00.256	 -0.265	 -0.085
       0:00.258	 -0.280	 -0.095
       0:00.260	 -0.290	 -0.100
       0:00.262	 -0.300	 -0.095
       0:00.264	 -0.335	 -0.085
       0:00.266	 -0.340	 -0.055
       0:00.268	 -0.330	 -0.010
       0:00.270	 -0.255	  0.055
       0:00.272	 -0.150	  0.125
       0:00.274	  0.020	  0.205
       0:00.276	  0.095	  0.275
       0:00.278	  0.225	  0.335
       0:00.280	  0.255	  0.375
       0:00.282	  0.265	  0.385
       0:00.284	  0.135	  0.365
       0:00.286	  0.010	  0.320
       0:00.288	 -0.125	  0.250
       0:00.290	 -0.250	  0.165
       0:00.292	 -0.195	  0.075
       0:00.294	 -0.245	 -0.015
       0:00.296	 -0.225	 -0.095
       0:00.298	 -0.370	 -0.155
       0:00.300	 -0.435	 -0.200
       0:00.302	 -0.470	 -0.230
       0:00.304	 -0.500	 -0.245
       0:00.306	 -0.495	 -0.250
       0:00.308	 -0.535	 -0.245
       0:00.310	 -0.550	 -0.235
       0:00.312	 -0.525	 -0.220
       0:00.314	 -0.505	 -0.200
       0:00.316	 -0.425	 -0.180
       0:00.318	 -0.310	 -0.160
